scholarship_id,scheme_name,provider,min_age,max_age,max_income,category,education_level,benefit_amount,deadline_date,application_link,documents_required,state,priority_score
59,Rural Development Scholarship 59,State Govt,14,16,500000.0,General,PG,32060,2026-06-05,https://scholarships.gov.in/scheme/59,Marksheet; Income Certificate; Bank Details; Aadhaar,Tamil Nadu,0.134
60,Post Matric Scholarship 60,Central Govt,13,17,350000.0,All,PG,121605,2026-05-24,https://scholarships.gov.in/scheme/60,Income Certificate; Aadhaar,Karnataka,0.494
61,Merit Scholarship 61,Private Trust,13,28,800000.0,ST,School,33296,2026-05-12,https://scholarships.gov.in/scheme/61,Caste Certificate; Income Certificate,Tamil Nadu,0.143
62,Higher Education Scholarship 62,Private Trust,10,25,800000.0,All,PG,61420,2026-07-09,https://scholarships.gov.in/scheme/62,Income Certificate; Aadhaar; Caste Certificate; Marksheet,Tamil Nadu,0.25
63,Pre Matric Scholarship 63,State Govt,13,15,100000.0,General,School,33476,2026-09-12,https://scholarships.gov.in/scheme/63,Bank Details; Income Certificate; Caste Certificate; Aadhaar,Karnataka,0.136
64,Education Support Scholarship 64,State Govt,10,14,350000.0,General,UG,25742,2026-08-11,https://scholarships.gov.in/scheme/64,Caste Certificate; Marksheet; Income Certificate,Delhi,0.106
65,Talent Scholarship 65,State Govt,10,21,500000.0,All,UG,45195,2026-07-18,https://scholarships.gov.in/scheme/65,Aadhaar; Caste Certificate; Marksheet,Tamil Nadu,0.184
66,Merit Scholarship 66,Central Govt,17,20,500000.0,General,School,51559,2026-05-07,https://scholarships.gov.in/scheme/66,Marksheet; Aadhaar; Bank Details; Caste Certificate,Karnataka,0.217
67,Minority Scholarship 67,State Govt,15,18,350000.0,All,PG,14342,2026-04-22,https://scholarships.gov.in/scheme/67,Bank Details; Marksheet,Delhi,0.076
68,Pre Matric Scholarship 68,State Govt,10,22,800000.0,All,PG,9188,2026-05-14,https://scholarships.gov.in/scheme/68,Bank Details; Aadhaar,Delhi,0.046
69,Minority Scholarship 69,NGO,11,15,350000.0,OBC,PG,59703,2026-06-04,https://scholarships.gov.in/scheme/69,Bank Details; Caste Certificate; Aadhaar,All India,0.245
70,Higher Education Scholarship 70,NGO,16,21,800000.0,ST,School,5000,2026-09-25,https://scholarships.gov.in/scheme/70,Bank Details; Aadhaar,Delhi,0.022
71,Rural Development Scholarship 71,State Govt,17,34,350000.0,SC,School,23321,2026-07-29,https://scholarships.gov.in/scheme/71,Bank Details; Marksheet; Aadhaar; Caste Certificate,All India,0.097
72,Pre Matric Scholarship 72,NGO,16,19,500000.0,OBC,UG,36167,2026-06-10,https://scholarships.gov.in/scheme/72,Bank Details; Income Certificate; Aadhaar; Marksheet,Tamil Nadu,0.15
73,Higher Education Scholarship 73,NGO,16,34,800000.0,General,PG,13206,2026-04-13,https://scholarships.gov.in/scheme/73,Income Certificate; Caste Certificate,All India,0.086
74,Pre Matric Scholarship 74,Central Govt,13,26,350000.0,General,UG,29955,2026-07-22,https://scholarships.gov.in/scheme/74,Income Certificate; Aadhaar,All India,0.123
75,Education Support Scholarship 75,State Govt,16,21,350000.0,ST,PG,28257,2026-07-08,https://scholarships.gov.in/scheme/75,Bank Details; Marksheet; Caste Certificate; Income Certificate,Tamil Nadu,0.117
76,Higher Education Scholarship 76,State Govt,12,21,,OBC,School,53140,2026-05-27,https://scholarships.gov.in/scheme/76,Marksheet; Bank Details,Delhi,0.22
77,Pre Matric Scholarship 77,NGO,11,22,800000.0,General,School,71440,2026-06-07,https://scholarships.gov.in/scheme/77,Bank Details; Caste Certificate; Marksheet; Income Certificate,Maharashtra,0.292
78,Rural Development Scholarship 78,NGO,13,19,500000.0,OBC,School,21142,2026-07-31,https://scholarships.gov.in/scheme/78,Aadhaar; Caste Certificate; Bank Details,Karnataka,0.088
79,Pre Matric Scholarship 79,NGO,16,26,350000.0,SC,PG,28946,2026-08-05,https://scholarships.gov.in/scheme/79,Aadhaar; Income Certificate,Tamil Nadu,0.119
80,Rural Development Scholarship 80,NGO,16,19,350000.0,OBC,School,44716,2026-07-10,https://scholarships.gov.in/scheme/80,Bank Details; Caste Certificate; Income Certificate,All India,0.183
81,Rural Development Scholarship 81,Central Govt,15,32,500000.0,SC,UG,48131,2026-06-13,https://scholarships.gov.in/scheme/81,Bank Details; Caste Certificate; Marksheet,Karnataka,0.198
82,Women Empowerment Scholarship 82,NGO,14,18,500000.0,General,School,107344,2026-06-20,https://scholarships.gov.in/scheme/82,Marksheet; Aadhaar; Income Certificate,Karnataka,0.434
83,Pre Matric Scholarship 83,Private Trust,17,21,500000.0,ST,UG,32878,2026-06-29,https://scholarships.gov.in/scheme/83,Bank Details; Aadhaar; Marksheet; Income Certificate,Tamil Nadu,0.136
84,Women Empowerment Scholarship 84,Private Trust,13,15,800000.0,SC,UG,96160,2026-07-15,https://scholarships.gov.in/scheme/84,Income Certificate; Aadhaar; Marksheet; Caste Certificate,All India,0.388
85,Excellence Scholarship 85,Private Trust,11,22,100000.0,OBC,UG,40054,2026-06-13,https://scholarships.gov.in/scheme/85,Marksheet; Aadhaar,All India,0.166
86,Merit Scholarship 86,Private Trust,13,30,250000.0,SC,School,62678,2026-04-29,https://scholarships.gov.in/scheme/86,Bank Details; Caste Certificate; Marksheet; Aadhaar,Maharashtra,0.265
87,Women Empowerment Scholarship 87,State Govt,11,29,250000.0,ST,PG,50322,2026-06-28,https://scholarships.gov.in/scheme/87,Bank Details; Marksheet; Aadhaar,Maharashtra,0.206
88,Higher Education Scholarship 88,Central Govt,12,14,800000.0,General,School,67786,2026-09-13,https://scholarships.gov.in/scheme/88,Marksheet; Aadhaar,Maharashtra,0.274
89,Post Matric Scholarship 89,NGO,12,24,350000.0,General,School,35446,2026-09-13,https://scholarships.gov.in/scheme/89,Bank Details; Income Certificate; Marksheet,Tamil Nadu,0.144
90,Higher Education Scholarship 90,NGO,12,25,250000.0,ST,School,57649,2026-05-04,https://scholarships.gov.in/scheme/90,Marksheet; Bank Details,Karnataka,0.243
91,Pre Matric Scholarship 91,Central Govt,13,28,100000.0,All,PG,25407,2026-04-13,https://scholarships.gov.in/scheme/91,Caste Certificate; Income Certificate,Delhi,0.135
92,Education Support Scholarship 92,State Govt,11,22,100000.0,All,UG,46227,2026-07-04,https://scholarships.gov.in/scheme/92,Caste Certificate; Income Certificate; Bank Details,All India,0.189
93,Excellence Scholarship 93,State Govt,11,31,250000.0,All,UG,21332,2026-07-28,https://scholarships.gov.in/scheme/93,Bank Details; Aadhaar,Karnataka,0.089
94,Excellence Scholarship 94,Central Govt,12,17,250000.0,OBC,UG,29335,2026-04-26,https://scholarships.gov.in/scheme/94,Income Certificate; Caste Certificate,Maharashtra,0.133
95,Rural Development Scholarship 95,Private Trust,10,15,350000.0,SC,UG,56552,2026-07-13,https://scholarships.gov.in/scheme/95,Bank Details; Aadhaar; Marksheet,Tamil Nadu,0.23
96,Women Empowerment Scholarship 96,Central Govt,10,18,500000.0,OBC,UG,18696,2026-07-10,https://scholarships.gov.in/scheme/96,Caste Certificate; Bank Details; Aadhaar; Marksheet,Tamil Nadu,0.079
97,Education Support Scholarship 97,Private Trust,15,21,250000.0,All,PG,62934,2026-04-28,https://scholarships.gov.in/scheme/97,Aadhaar; Bank Details,Karnataka,0.267
98,Women Empowerment Scholarship 98,State Govt,12,22,100000.0,All,UG,6665,2026-05-05,https://scholarships.gov.in/scheme/98,Bank Details; Aadhaar,Tamil Nadu,0.038
99,Pre Matric Scholarship 99,State Govt,10,31,800000.0,ST,UG,24304,2026-04-24,https://scholarships.gov.in/scheme/99,Caste Certificate; Marksheet,Tamil Nadu,0.115
100,Talent Scholarship 100,Private Trust,13,26,500000.0,All,PG,68474,2026-08-30,https://scholarships.gov.in/scheme/100,Bank Details; Income Certificate,Karnataka,0.277
101,Higher Education Scholarship 101,Private Trust,16,31,100000.0,ST,UG,33993,2026-07-25,https://scholarships.gov.in/scheme/101,Income Certificate; Caste Certificate,Maharashtra,0.139
102,Women Empowerment Scholarship 102,Private Trust,14,18,500000.0,General,UG,100741,2026-08-23,https://scholarships.gov.in/scheme/102,Income Certificate; Marksheet,Delhi,0.406
103,Merit Scholarship 103,Central Govt,13,18,250000.0,All,PG,94409,2026-06-20,https://scholarships.gov.in/scheme/103,Income Certificate; Bank Details,Tamil Nadu,0.383
104,Post Matric Scholarship 104,State Govt,11,24,350000.0,OBC,School,52137,2026-08-28,https://scholarships.gov.in/scheme/104,Caste Certificate; Marksheet,Maharashtra,0.211
105,Excellence Scholarship 105,NGO,15,23,350000.0,All,PG,5000,2026-08-20,https://scholarships.gov.in/scheme/105,Caste Certificate; Income Certificate; Marksheet,All India,0.023
106,Minority Scholarship 106,State Govt,12,15,500000.0,ST,School,28495,2026-04-10,https://scholarships.gov.in/scheme/106,Marksheet; Caste Certificate,Delhi,0.158
107,Higher Education Scholarship 107,Central Govt,14,21,500000.0,ST,PG,74630,2026-06-15,https://scholarships.gov.in/scheme/107,Aadhaar; Marksheet,Delhi,0.304
108,Higher Education Scholarship 108,NGO,14,19,800000.0,SC,School,25678,2026-05-11,https://scholarships.gov.in/scheme/108,Income Certificate; Marksheet; Bank Details,Maharashtra,0.113
109,Higher Education Scholarship 109,Private Trust,13,33,350000.0,ST,PG,49327,2026-07-05,https://scholarships.gov.in/scheme/109,Bank Details; Marksheet; Caste Certificate,All India,0.202
110,Excellence Scholarship 110,Private Trust,11,31,350000.0,SC,School,84260,2026-05-14,https://scholarships.gov.in/scheme/110,Bank Details; Marksheet; Aadhaar,Delhi,0.346
111,Rural Development Scholarship 111,Private Trust,12,26,350000.0,SC,School,39444,2026-06-02,https://scholarships.gov.in/scheme/111,Aadhaar; Marksheet,Delhi,0.164
112,Pre Matric Scholarship 112,State Govt,16,26,100000.0,OBC,PG,31340,2026-09-19,https://scholarships.gov.in/scheme/112,Bank Details; Marksheet,Maharashtra,0.128
113,Women Empowerment Scholarship 113,NGO,12,26,100000.0,OBC,PG,23807,2026-07-27,https://scholarships.gov.in/scheme/113,Marksheet; Aadhaar,Maharashtra,0.099
114,Education Support Scholarship 114,Central Govt,17,19,800000.0,OBC,UG,5000,2026-09-18,https://scholarships.gov.in/scheme/114,Bank Details; Marksheet,Maharashtra,0.022
115,Education Support Scholarship 115,Central Govt,15,28,250000.0,SC,PG,41368,2026-05-22,https://scholarships.gov.in/scheme/115,Caste Certificate; Marksheet,Maharashtra,0.173
116,Higher Education Scholarship 116,Central Govt,17,24,500000.0,SC,School,51675,2026-09-16,https://scholarships.gov.in/scheme/116,Aadhaar; Caste Certificate; Bank Details; Marksheet,All India,0.209
117,Women Empowerment Scholarship 117,Central Govt,12,33,250000.0,General,UG,18945,2026-04-06,https://scholarships.gov.in/scheme/117,Aadhaar; Bank Details,Karnataka,0.156
118,Rural Development Scholarship 118,Central Govt,15,19,350000.0,General,School,10986,2026-08-27,https://scholarships.gov.in/scheme/118,Income Certificate; Aadhaar; Caste Certificate; Bank Details,Delhi,0.047
119,Rural Development Scholarship 119,Central Govt,10,22,100000.0,SC,UG,36672,2026-09-08,https://scholarships.gov.in/scheme/119,Caste Certificate; Bank Details,Delhi,0.149
120,Rural Development Scholarship 120,Private Trust,17,28,250000.0,General,School,69289,2026-07-06,https://scholarships.gov.in/scheme/120,Aadhaar; Income Certificate; Marksheet,Delhi,0.281
121,Talent Scholarship 121,State Govt,17,28,250000.0,General,School,17292,2026-07-15,https://scholarships.gov.in/scheme/121,Caste Certificate; Aadhaar,Karnataka,0.073
122,Minority Scholarship 122,Central Govt,13,31,350000.0,ST,School,13747,2026-09-13,https://scholarships.gov.in/scheme/122,Caste Certificate; Aadhaar,Tamil Nadu,0.057
123,Rural Development Scholarship 123,Central Govt,13,27,250000.0,General,UG,13047,2026-05-21,https://scholarships.gov.in/scheme/123,Aadhaar; Marksheet; Income Certificate; Bank Details,All India,0.06
124,Minority Scholarship 124,Private Trust,14,21,800000.0,OBC,School,54757,2026-06-26,https://scholarships.gov.in/scheme/124,Income Certificate; Bank Details; Marksheet; Aadhaar,Tamil Nadu,0.224
125,Education Support Scholarship 125,Private Trust,17,23,350000.0,General,School,5000,2026-05-31,https://scholarships.gov.in/scheme/125,Marksheet; Bank Details; Income Certificate,Delhi,0.027
126,Rural Development Scholarship 126,Central Govt,11,25,250000.0,All,School,94943,2026-04-10,https://scholarships.gov.in/scheme/126,Bank Details; Caste Certificate; Aadhaar; Marksheet,All India,0.424
127,Post Matric Scholarship 127,NGO,17,19,500000.0,OBC,UG,36760,2026-04-16,https://scholarships.gov.in/scheme/127,Aadhaar; Marksheet,Tamil Nadu,0.174
128,Rural Development Scholarship 128,NGO,11,34,100000.0,All,UG,85813,2026-06-03,https://scholarships.gov.in/scheme/128,Aadhaar; Marksheet; Bank Details; Caste Certificate,Tamil Nadu,0.35
129,Rural Development Scholarship 129,Private Trust,10,24,250000.0,OBC,PG,41904,2026-07-09,https://scholarships.gov.in/scheme/129,Marksheet; Caste Certificate,Maharashtra,0.19
130,Women Empowerment Scholarship 130,NGO,15,19,350000.0,All,UG,25468,2026-04-28,https://scholarships.gov.in/scheme/130,Bank Details; Caste Certificate,Maharashtra,0.117
131,Minority Scholarship 131,State Govt,14,20,100000.0,SC,PG,20671,2026-06-29,https://scholarships.gov.in/scheme/131,Income Certificate; Caste Certificate; Bank Details,Delhi,0.087
132,Merit Scholarship 132,State Govt,10,25,800000.0,All,PG,80679,2026-04-06,https://scholarships.gov.in/scheme/132,Income Certificate; Marksheet; Aadhaar; Bank Details,Maharashtra,0.403
133,Women Empowerment Scholarship 133,Central Govt,14,28,500000.0,All,School,49995,2026-05-07,https://scholarships.gov.in/scheme/133,Caste Certificate; Bank Details; Marksheet,Maharashtra,0.211
134,Women Empowerment Scholarship 134,Central Govt,13,22,800000.0,SC,School,32262,2026-05-14,https://scholarships.gov.in/scheme/134,Marksheet; Income Certificate; Caste Certificate,Tamil Nadu,0.138
135,Minority Scholarship 135,NGO,11,14,250000.0,All,School,78263,2026-05-25,https://scholarships.gov.in/scheme/135,Caste Certificate; Marksheet,All India,0.32
136,Higher Education Scholarship 136,State Govt,15,28,350000.0,General,PG,37253,2026-08-16,https://scholarships.gov.in/scheme/136,Income Certificate; Caste Certificate; Bank Details,Karnataka,0.152
137,Rural Development Scholarship 137,Central Govt,15,33,100000.0,All,PG,59361,2026-06-10,https://scholarships.gov.in/scheme/137,Income Certificate; Marksheet; Bank Details; Aadhaar,Tamil Nadu,0.243
138,Merit Scholarship 138,NGO,12,20,100000.0,SC,UG,81058,2026-09-18,https://scholarships.gov.in/scheme/138,Marksheet; Caste Certificate; Bank Details,All India,0.327
139,Education Support Scholarship 139,Central Govt,15,34,350000.0,OBC,School,5000,2026-07-05,https://scholarships.gov.in/scheme/139,Marksheet; Caste Certificate; Income Certificate; Bank Details,Delhi,0.024
140,Talent Scholarship 140,Private Trust,16,19,350000.0,SC,School,83330,2026-05-27,https://scholarships.gov.in/scheme/140,Caste Certificate; Bank Details,Delhi,0.34
141,Post Matric Scholarship 141,Private Trust,15,17,100000.0,General,UG,25398,2026-07-20,https://scholarships.gov.in/scheme/141,Bank Details; Income Certificate; Caste Certificate; Marksheet,All India,0.105
142,Pre Matric Scholarship 142,State Govt,10,16,350000.0,OBC,UG,80033,2026-05-04,https://scholarships.gov.in/scheme/142,Caste Certificate; Income Certificate; Bank Details,Delhi,0.332
143,Rural Development Scholarship 143,Private Trust,17,19,350000.0,All,PG,5000,2026-06-13,https://scholarships.gov.in/scheme/143,Income Certificate; Bank Details; Marksheet,Tamil Nadu,0.025
144,Higher Education Scholarship 144,NGO,15,18,500000.0,SC,PG,38333,2026-08-09,https://scholarships.gov.in/scheme/144,Aadhaar; Caste Certificate; Income Certificate; Marksheet,Tamil Nadu,0.156
145,Talent Scholarship 145,State Govt,12,29,250000.0,OBC,PG,54552,2026-09-03,https://scholarships.gov.in/scheme/145,Marksheet; Bank Details; Aadhaar; Income Certificate,Maharashtra,0.221
146,Excellence Scholarship 146,NGO,17,33,800000.0,All,UG,5000,2026-08-01,https://scholarships.gov.in/scheme/146,Bank Details; Aadhaar,Maharashtra,0.023
147,Minority Scholarship 147,State Govt,12,16,500000.0,SC,UG,54033,2026-06-05,https://scholarships.gov.in/scheme/147,Aadhaar; Marksheet; Bank Details,Tamil Nadu,0.222
148,Excellence Scholarship 148,State Govt,12,32,350000.0,General,UG,40451,2026-04-26,https://scholarships.gov.in/scheme/148,Bank Details; Income Certificate,Karnataka,0.178
149,Education Support Scholarship 149,Central Govt,11,22,100000.0,General,PG,36789,2026-07-04,https://scholarships.gov.in/scheme/149,Aadhaar; Bank Details; Caste Certificate,Tamil Nadu,0.151
150,Post Matric Scholarship 150,Private Trust,11,29,100000.0,SC,School,8942,2026-06-22,https://scholarships.gov.in/scheme/150,Bank Details; Caste Certificate; Income Certificate,Maharashtra,0.041
